task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
T5,MLP,success,,584,582,T5,regression,135.12642312049866,0.488986226642389,0.1164061703582691,54.64193892351197,10.805974520361344,32.317606439738576,7.313240698389729
T5,SVR/SVM,success,,584,582,T5,regression,7.33091402053833,0.5782692445548552,0.08569425188068927,49.64940227551701,9.344391484565561,29.37423076102592,6.010833391992625
T5,Ridge,success,,584,582,T5,regression,2.418077230453491,0.5292270658231685,0.08368673624166327,52.63688223090473,10.260213752953714,33.71146914444087,5.50490681867953
T5,Lasso,success,,584,582,T5,regression,101.4345223903656,0.4759028310068268,0.1719075404805495,55.41836138435193,14.644012211163842,35.5885181667253,7.471017786205801
T5,KNN,success,,584,582,T5,regression,5.2805705070495605,0.5778665912375125,0.09330113550380445,49.339143624242276,7.506423541007937,27.62607114035098,4.785188565349805
T5,DecisionTree,success,,584,582,T5,regression,3.81746244430542,0.4094346070878091,0.19566006179627404,57.30403364081519,7.695659666477016,34.10184392175071,5.277128165322986
T5,LightGBM,success,,584,582,T5,regression,18.904046773910522,0.6645910068760926,0.05942655051881436,44.22723679855687,7.398405644402682,27.04825402931063,4.5482808043023955
T5,GradientBoosting,success,,584,582,T5,regression,150.0589153766632,0.6858318855225531,0.0718036858200601,42.746260481548795,7.706844087525358,25.87826488456031,3.4497402151875725
T5,RandomForest,success,,584,582,T5,regression,214.9114716053009,0.6727598265403145,0.048274936890288035,43.85731610587719,7.80963711622755,25.994535259276915,4.533632666961238
T5,ExtraTrees,success,,584,582,T5,regression,181.97360920906067,0.6871856059080008,0.03866583048977207,42.733506407613035,6.213528488048382,24.417480199048992,5.350384503753846
T5,XGBoost,success,,584,582,T5,regression,66.7481586933136,0.7069245863320959,0.07657176707365611,41.20034111052973,7.696148345989449,24.893320440285656,4.3857084493725615
