R2,RMSE,MAE,task,model,fold,best_score_inner_cv,selection_method,search_error
0.2991329470173363,70.04621204909523,43.887843458765076,T5,MLP,1,0.28837484707696726,random_search,
0.5931557814350665,42.60169216668313,28.465887809860774,T5,MLP,2,0.15650762266572782,random_search,
0.5158956630159393,46.947616086285514,25.229308419292536,T5,MLP,3,0.3770273773481223,random_search,
0.5676414934357761,53.95762833456729,29.283555350649372,T5,MLP,4,0.37035549055447364,random_search,
0.46910524830782707,59.65654598092871,34.7214371601251,T5,MLP,5,0.3103804830479014,random_search,
0.4982858986517327,59.264549297807065,37.42556512679718,T5,SVR/SVM,1,0.5503150651632174,random_search,
0.6585284599575373,39.02923438873113,22.654044552251644,T5,SVR/SVM,2,0.5252877928595266,random_search,
0.6001579892783127,42.666622873231965,25.405639108482635,T5,SVR/SVM,3,0.5305315859228904,random_search,
0.47827577465920834,59.272241293437354,33.45952174834369,T5,SVR/SVM,4,0.5278348955046753,random_search,
0.6560981002274853,48.014363524377536,27.926383269254444,T5,SVR/SVM,5,0.4853220310782452,random_search,
0.4270348033607039,63.33313022644384,40.78714609809362,T5,Ridge,1,0.47247476958035356,random_search,
0.6209326786475848,41.121689419606014,28.63468697706998,T5,Ridge,2,0.485757570549084,random_search,
0.6094225004592755,42.169423923759275,27.997392004346956,T5,Ridge,3,0.48043788008185334,random_search,
0.5066147375087637,57.63999503931097,33.8624397897102,T5,Ridge,4,0.38962149558656617,random_search,
0.48213060913951433,58.92017254540359,37.27568085298357,T5,Ridge,5,0.45275577984655596,random_search,
0.3079444803011877,69.60449719440096,42.63659331259515,T5,Lasso,1,0.487083978180344,random_search,
0.6576991300242563,39.076600683321516,27.54665722321381,T5,Lasso,2,0.535593661355109,random_search,
0.6223282812362825,41.466873335472165,28.37516639128272,T5,Lasso,3,0.4240439684548741,random_search,
0.2893138232571707,69.17828360339153,43.098444167548074,T5,Lasso,4,0.2235654224393787,random_search,
0.5022284402152368,57.765552105173455,36.28572973898673,T5,Lasso,5,0.4416130816402238,random_search,
0.5977181309292798,53.06791951452322,33.15964265702758,T5,KNN,1,0.5107076514963272,random_search,
0.6421160274042375,39.95617441328888,22.6473733114482,T5,KNN,2,0.5040276090221089,random_search,
0.49862997127911735,47.77748031048649,26.95784907582291,T5,KNN,3,0.5326915483840703,random_search,
0.6849973197561423,46.05618626309434,23.455965942047055,T5,KNN,4,0.4821096874517797,random_search,
0.46587150681878575,59.83795761981847,31.909524715409155,T5,KNN,5,0.5272878467719815,random_search,
0.6716978184177897,47.94062774515091,30.58974924131054,T5,DecisionTree,1,0.48089087483237725,random_search,
0.23099225162757786,58.57039235507091,42.03803295555439,T5,DecisionTree,2,0.2289615295147633,random_search,
0.2909530592989634,56.81742554969382,32.21847990797721,T5,DecisionTree,3,0.44835107525573553,random_search,
0.5643680306666127,54.16150454311616,29.00396611770451,T5,DecisionTree,4,0.36716068553359865,random_search,
0.28916187542810157,69.03021801104418,36.65899138620689,T5,DecisionTree,5,0.44548863981163794,random_search,
0.632506082275445,50.72147914104798,33.965575579601214,T5,LightGBM,1,0.5875848094644346,random_search,
0.6617019344857857,38.84745145563419,24.58578223259898,T5,LightGBM,2,0.5628332498444247,random_search,
0.7182055984957751,35.81873451760781,21.756131541403885,T5,LightGBM,3,0.575201767708787,random_search,
0.5844187152999104,52.900385755081615,27.955385573827947,T5,LightGBM,4,0.5498057178715579,random_search,
0.7261227038235473,42.848133123412765,26.978395219121126,T5,LightGBM,5,0.5421752332056313,random_search,
0.7271102609537454,43.70794975677605,28.473127772525842,T5,GradientBoosting,1,0.6315501040604247,random_search,
0.7305850024858631,34.66759061764547,22.609160107461154,T5,GradientBoosting,2,0.5631879244685829,random_search,
0.7014642174897523,36.86737821880292,24.098363195363508,T5,GradientBoosting,3,0.640397274734985,random_search,
0.7108425571536922,44.126353113395766,23.64101780969176,T5,GradientBoosting,4,0.6292799692233105,random_search,
0.5591573895297131,54.36203070112378,30.56965553775929,T5,GradientBoosting,5,0.586560923471894,random_search,
0.6563345007536732,49.04952430110778,32.62729656806692,T5,RandomForest,1,0.5903888127787257,random_search,
0.7425999578425515,33.885748432722515,21.538195201991734,T5,RandomForest,2,0.5755735404472432,random_search,
0.7010529168933715,36.89276605556704,22.453218291710353,T5,RandomForest,3,0.6453512130696918,random_search,
0.6361398940858038,49.49918736475951,25.11326713805046,T5,RandomForest,4,0.6019482871281531,random_search,
0.6276718631261726,49.959354375229104,28.240699096565123,T5,RandomForest,5,0.5717344304555378,random_search,
0.6576364219748122,48.956528043034275,32.8375939952604,T5,ExtraTrees,1,0.5915062927144876,random_search,
0.7203425152807168,35.320431377231955,20.749906697679744,T5,ExtraTrees,2,0.5947525684301763,random_search,
0.6827531231603912,38.00517489614022,21.46085524341317,T5,ExtraTrees,3,0.6521880706291526,random_search,
0.7322503297634466,42.461498884547865,20.37287681203063,T5,ExtraTrees,4,0.6467982961185519,random_search,
0.6429456393606379,48.92389883711087,26.66616824686102,T5,ExtraTrees,5,0.5921898754452949,random_search,
0.7456268337153684,42.199031150392926,28.945027097769767,T5,XGBoost,1,0.6258014180300512,random_search,
0.7328192331413419,34.52354398673794,22.58894577030582,T5,XGBoost,2,0.5676590422691081,random_search,
0.7290374207479914,35.12357525161496,21.201532405029713,T5,XGBoost,3,0.6483757435580226,random_search,
0.755863490511086,40.54592510464298,21.410689802230234,T5,XGBoost,4,0.6429962487894098,random_search,
0.5712759535446912,53.60963005925984,30.32040712609274,T5,XGBoost,5,0.5687698310625628,random_search,
