feature_name,prevalence,variance,correlation,is_whitelist,importance_score
C,1.0,183.573,0.5301306927333186,False,0.5301306927333186
O,0.9683544303797469,5.9909606,0.451506696564543,False,0.43721850996439926
CC,0.9820675105485233,15.988116,0.08730646429163397,False,0.0857408420416785
C1=CC=CC=C1,0.830168776371308,4.496599,0.5704584202762687,False,0.4735767687314594
C=O,0.7784810126582279,1.8979224,0.2637687234154587,False,0.20533894291203433
CC1=CC=CC=C1,0.7278481012658228,3.7051985,0.4256415408962982,False,0.30980238736122967
CO,0.8175105485232067,5.4872594,0.23252927979016585,False,0.1900951390689647
CC=O,0.7383966244725738,2.0065203,0.2278930581620602,False,0.1682754648875972
CCC,0.7172995780590717,21.851448,0.058429255981716124,False,0.04191128066199047
N,0.6118143459915611,2.1955924,0.2576233659534491,False,0.15761767115295408
CN,0.5126582278481012,4.8611174,0.3041043773492221,False,0.15590161117270243
COC,0.6265822784810127,0.9774127,0.12521140902521083,False,0.07845524995883464
OC1=CC=CC=C1,0.47362869198312235,2.3840117,0.4563717110292883,False,0.21615073655290132
O=CC1=CC=CC=C1,0.46624472573839665,1.7389613,0.26413676275686426,False,0.12315237250900211
CCN,0.43354430379746833,2.5318005,0.1627132729869779,False,0.07054341265574675
CNC,0.4177215189873418,2.0538018,0.2463860991377858,False,0.10292077558920167
CCNC,0.4008438818565401,5.226711,0.1842430903562208,False,0.0738527155436328
NC1=CC=CC=C1,0.31645569620253167,0.94245243,0.3661889664913309,False,0.11588258433269967
P,0.5506329113924051,0.2602424,0.4272823382404293,False,0.23527571789188198
CC(N)=O,0.3322784810126582,1.0602608,0.28033929772062904,False,0.09315071601476597
CCO,0.5822784810126582,3.519219,0.04869842534548434,False,0.028356045137876956
COC1=CC=CC=C1,0.2689873417721519,1.431978,0.277045992699973,False,0.07452186512499273
CNC1=CC=CC=C1,0.23839662447257384,0.5046321,0.32374084067912623,False,0.07717872362181702
CCC1=CC=CC=C1,0.29430379746835444,7.248631,0.332693918898273,False,0.09791308372639047
CCOC,0.5063291139240507,2.1970243,0.016904565381061467,False,0.008559273610664034
O=CO,0.5063291139240507,0.4047617,0.041116339014676324,False,0.02081839950110194
CC1=CC=C(O)C=C1,0.26054852320675104,0.7326283,0.34832378306048695,False,0.09075524727419859
CC(=O)NC1=CC=CC=C1,0.21835443037974683,0.34788564,0.3176403327810525,False,0.06935817393003994
NCC1=CC=CC=C1,0.21729957805907174,0.6239471,0.3033923969290925,False,0.0659270398390222
CC(=O)O,0.4810126582278481,0.32351223,0.07414812439495157,False,0.035666186417824805
CCC=O,0.3670886075949367,2.1517508,0.004399555619393307,False,0.0016150267463595684
CC(C)C,0.33860759493670883,2.6771648,0.21900816216270744,False,0.07415782706142308
NC(=O)C1=CC=CC=C1,0.20358649789029537,0.52649415,0.31542890597776785,False,0.064217066301381
COP,0.35337552742616035,0.38766614,0.33681045651204866,False,0.11902057271259105
CCNCC,0.26054852320675104,1.082606,0.10214072524502689,False,0.02661261512185827
PC1=CC=CC=C1,0.3090717299578059,0.7026235,0.34036282159652653,False,0.10519652608415851
C1=CC=C(CC2=CC=CC=C2)C=C1,0.18143459915611815,0.9016026,0.2747002814436663,False,0.04984013545180444
CCNC=O,0.2320675105485232,2.1466303,0.1562880309776861,False,0.03626937427752209
CCOCC,0.39345991561181437,0.58983064,0.02034510254178496,False,0.008004982329204421
CC1=CC(C)=CC=C1,0.2088607594936709,0.14823596,0.17519546782253959,False,0.0365914584692646
O=PC1=CC=CC=C1,0.29852320675105487,0.6271213,0.30955908840622076,False,0.09241057174995831
C1=CC=C(CNC2=CC=CC=C2)C=C1,0.16666666666666666,0.26844275,0.26044700292088935,False,0.04340783382014822
CC1=CC=C(C)C=C1,0.3691983122362869,0.2824831,0.01495249906894313,False,0.005520437419968455
CCOC(C)=O,0.3924050632911392,0.3479376,0.0107547632956487,False,0.004220223571710249
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,0.15611814345991562,0.24246469,0.2689559216127273,False,0.04198889915472958
POC1=CC=CC=C1,0.2521097046413502,0.25099266,0.43433215903702105,False,0.10949935233106331
OCC1=CC=CC=C1,0.35337552742616035,0.51886487,0.0893245114917643,False,0.031565096360486336
CN(C)C,0.16772151898734178,0.14989448,0.13872064738900886,False,0.023266437694991992
CCCN,0.1962025316455696,2.4489083,0.017857141310641884,False,0.003503616333100623
CCN(C)C,0.16350210970464135,0.8950682,0.13813786744828163,False,0.02258583275789415
CCCCC,0.21835443037974683,15.762449,0.03901563484367927,False,0.00851923672219579
CPC,0.26582278481012656,0.55628043,0.3191566974894074,False,0.0848391221174374
CCC1=CC=C(O)C=C1,0.1571729957805907,3.33497,0.28450603327144347,False,0.04471666556692518
CC1=C(C)C=CC=C1,0.14556962025316456,0.15706113,0.250283895055744,False,0.036433731558747545
COC(=O)C1=CC=CC=C1,0.3333333333333333,0.2584291,0.034785890827178145,False,0.011595296942392714
COC1=CC=C(C)C=C1,0.16244725738396623,0.39394587,0.23442988701860365,False,0.03808249219500523
CC1=CC(C=O)=CC=C1,0.17932489451476794,0.31546804,0.18026678463889217,False,0.032326322139885726
CCCNC,0.18037974683544303,4.285433,0.04739731276591183,False,0.008549515277395487
CCN(C)CC,0.13818565400843882,0.92292833,0.11905964452590753,False,0.016452334844824775
C[PH](C)=O,0.2552742616033755,0.4760579,0.28679865310828523,False,0.07321231440106014
CCCC=O,0.22573839662447256,3.5806186,0.013182127418066932,False,0.0029757123074539275
CC1=C(C=O)C=CC=C1,0.12869198312236288,0.39730144,0.22801727874234137,False,0.029343995787516508
CC(C1=CC=CC=C1)C1=CC=CC=C1,0.1350210970464135,2.8023922,0.23657294209828708,False,0.03194233817360838
OC1=CC=C(CC2=CC=CC=C2)C=C1,0.14873417721518986,1.0509552,0.2744830766732528,False,0.04082501456849012
CPO,0.2869198312236287,0.2568002,0.13698875276500794,False,0.03930478982287147
CCOCC1=CC=CC=C1,0.3154008438818565,0.4222162,0.029074105560044056,False,0.009169997428748071
CC(C)(C)C,0.14135021097046413,0.12197212,0.24823427116772775,False,0.03508796659965772
OCCO,0.290084388185654,0.35219505,0.026939612062117962,False,0.007814760882998354
C1=CC=C(OC2=CC=CC=C2)C=C1,0.11181434599156118,0.24811515,0.22931772498418795,False,0.025641011443379665
COCCO,0.2879746835443038,0.49598905,0.008550434487890671,False,0.0024623086658166174
CC1=CC(CN)=CC=C1,0.1160337552742616,0.13924865,0.15157857017976398,False,0.01758823071706122
CCOC(=O)C1=CC=CC=C1,0.3069620253164557,0.24704854,0.02964497219749987,False,0.009099880706194581
CCC(=O)NC,0.15822784810126583,3.4409602,0.0740902649688118,False,0.011723143191267691
OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,0.13291139240506328,0.09681359,0.2784147201629245,False,0.03700448812292034
CC1=CC(C(N)=O)=CC=C1,0.10759493670886076,0.110900104,0.16154414298598102,False,0.017381331840263782
O=CC1=CC=C(C=O)C=C1,0.32383966244725737,0.23121789,0.06556232966238511,False,0.021231682707122602
CCOCCO,0.27742616033755274,0.27547994,0.06763157524902044,False,0.018762768238916008
CC1=CC=CC=C1C(N)=O,0.0949367088607595,0.3468402,0.18147183243358747,False,0.017228338522176027
CN(C)CC1=CC=CC=C1,0.08966244725738397,0.10660079,0.13306729282460877,False,0.011931139124569352
CC(=O)OCCO,0.27742616033755274,0.20270653,0.06840465235311766,False,0.018977240051550572
CCCO,0.25316455696202533,1.7183161,0.1313462722732066,False,0.033252220828659904
CC1=C(O)C=CC=C1,0.14345991561181434,0.19012395,0.13578420288085544,False,0.019479590286704998
OPC1=CC=CC=C1,0.20358649789029537,0.17161468,0.23515130103573412,False,0.0478736298522117
CC1=CC(CNC2=CC=CC=C2)=CC=C1,0.08966244725738397,0.06978563,0.10864732976400233,False,0.009741585474620463
CC1=CC=C(N)C=C1,0.08860759493670886,0.13863575,0.26404937430549436,False,0.023396780001752663
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0.10970464135021098,0.84896475,0.23241700947119673,False,0.025497224667726224
CCC1=CC=C(OC)C=C1,0.10126582278481013,1.3307654,0.13757573633749426,False,0.013931720135442456
CN1CC2=C(C=CC=C2)C1=O,0.08016877637130802,0.18237977,0.16939706297762333,False,0.013580355259809466
CNCC1=CC(C=O)=CC=C1,0.08544303797468354,0.31093433,0.08678344906107319,False,0.007415041533699291
CN(C)C1=CC=CC=C1,0.11075949367088607,0.07637535,0.10106184561016517,False,0.011193558849227153
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.10337552742616034,0.08260646,0.25463381124788126,False,0.026322904538283082
COPO,0.1729957805907173,0.58781767,0.21034499661029407,False,0.036388796881949605
C1=CC=C(C2=CC=CC=C2)C=C1,0.1371308016877637,0.06263055,0.2086905852247473,False,0.028617907256558172
CCCCCN,0.14978902953586498,3.4057987,0.06111784816546315,False,0.009154783164025071
CC1=CC=C(OC2=CC=CC=C2)C=C1,0.08122362869198312,0.31392455,0.2273332035157605,False,0.018464827711723163
CCCOC,0.22257383966244726,1.1560317,0.12969145725884887,False,0.02886592561352016
CCOC1=CC=CC=C1,0.12130801687763713,0.22540814,0.17692052777813017,False,0.021461878369709884
CCC(C)C,0.12025316455696203,7.790517,0.0011459581135378806,False,0.00013780508960265652
C1=CC=C(OPC2=CC=CC=C2)C=C1,0.14978902953586498,0.14986274,0.25277622685133355,False,0.03786310570979891
