combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
102,0.01,0.05,30,0.9,164,0.8256171726963327
103,0.01,0.05,30,0.95,236,0.8320683812258987
104,0.01,0.05,30,0.98,341,0.838843971208515
105,0.01,0.05,40,0.8,87,0.8308003156119602
106,0.01,0.05,40,0.85,114,0.8303134499807776
107,0.01,0.05,40,0.9,142,0.8324102952328486
108,0.01,0.05,40,0.95,201,0.8309016458180529
109,0.01,0.05,40,0.98,285,0.8477729360517706
110,0.01,0.05,50,0.8,63,0.8308744283355658
111,0.01,0.05,50,0.85,74,0.8383537798355644
112,0.01,0.05,50,0.9,98,0.8358243636188624
113,0.01,0.05,50,0.95,137,0.8320980068512785
114,0.01,0.05,50,0.98,200,0.8460551927491865
115,0.01,0.05,60,0.8,50,0.836523178765065
116,0.01,0.05,60,0.85,60,0.8467457681513778
117,0.01,0.05,60,0.9,85,0.8487421884938542
118,0.01,0.05,60,0.95,118,0.83332155462197
119,0.01,0.05,60,0.98,173,0.8503813642562115
120,0.01,0.05,70,0.8,47,0.8421935453507892
121,0.01,0.05,70,0.85,58,0.8321995020210305
122,0.01,0.05,70,0.9,80,0.8524860532174717
123,0.01,0.05,70,0.95,109,0.8455383798467881
124,0.01,0.05,70,0.98,156,0.8665596943722779
125,0.03,0.001,30,0.8,101,0.8255506280577813
126,0.03,0.001,30,0.85,121,0.8236994774669231
127,0.03,0.001,30,0.9,153,0.8424765043033074
128,0.03,0.001,30,0.95,214,0.8444621869604964
129,0.03,0.001,30,0.98,300,0.8479601362822361
130,0.03,0.001,40,0.8,74,0.8385603487735054
131,0.03,0.001,40,0.85,90,0.8351258319443339
132,0.03,0.001,40,0.9,117,0.8406123938582443
133,0.03,0.001,40,0.95,169,0.8339758031849513
134,0.03,0.001,40,0.98,240,0.8463868984745563
135,0.03,0.001,50,0.8,65,0.8265299097514986
136,0.03,0.001,50,0.85,74,0.836667580560675
137,0.03,0.001,50,0.9,102,0.8402971886679754
138,0.03,0.001,50,0.95,136,0.8334872675746372
139,0.03,0.001,50,0.98,196,0.8540366280481336
140,0.03,0.001,60,0.8,56,0.8343467189905102
141,0.03,0.001,60,0.85,66,0.845418535120287
142,0.03,0.001,60,0.9,90,0.843061180386614
143,0.03,0.001,60,0.95,121,0.8321237569029807
144,0.03,0.001,60,0.98,174,0.8600194205825182
145,0.03,0.001,70,0.8,47,0.8323117911029465
146,0.03,0.001,70,0.85,57,0.8408485954243773
147,0.03,0.001,70,0.9,80,0.8349413281353544
148,0.03,0.001,70,0.95,105,0.839407729549079
149,0.03,0.001,70,0.98,150,0.8580927118206894
150,0.03,0.005,30,0.8,85,0.8341420757455029
151,0.03,0.005,30,0.85,108,0.828483165178086
152,0.03,0.005,30,0.9,137,0.8291506194897048
153,0.03,0.005,30,0.95,192,0.8363485865207692
154,0.03,0.005,30,0.98,274,0.8527631867947804
155,0.03,0.005,40,0.8,66,0.836176038245713
156,0.03,0.005,40,0.85,79,0.8408929307716251
157,0.03,0.005,40,0.9,105,0.8393434412081934
158,0.03,0.005,40,0.95,146,0.8339479438604634
159,0.03,0.005,40,0.98,208,0.8494870787201583
160,0.03,0.005,50,0.8,60,0.836326920591184
161,0.03,0.005,50,0.85,69,0.8381633175388934
162,0.03,0.005,50,0.9,95,0.833691212300468
163,0.03,0.005,50,0.95,128,0.8331424708743873
164,0.03,0.005,50,0.98,184,0.851677837961099
165,0.03,0.005,60,0.8,51,0.8385735732223937
166,0.03,0.005,60,0.85,62,0.8444708963831925
167,0.03,0.005,60,0.9,85,0.8466435893127325
168,0.03,0.005,60,0.95,117,0.8373980831170416
169,0.03,0.005,60,0.98,164,0.8525607896879542
170,0.03,0.005,70,0.8,45,0.8322600526820854
171,0.03,0.005,70,0.85,56,0.8374117453743152
172,0.03,0.005,70,0.9,80,0.8529784377050527
173,0.03,0.005,70,0.95,104,0.8407113212977884
174,0.03,0.005,70,0.98,149,0.851405591533948
175,0.03,0.01,30,0.8,83,0.831895986514599
176,0.03,0.01,30,0.85,101,0.8360250071807727
177,0.03,0.01,30,0.9,130,0.8353873760383103
178,0.03,0.01,30,0.95,185,0.8334754336148771
179,0.03,0.01,30,0.98,265,0.8499944753054626
180,0.03,0.01,40,0.8,63,0.8305751349885094
181,0.03,0.01,40,0.85,74,0.8400314883382407
182,0.03,0.01,40,0.9,103,0.8362236853514327
183,0.03,0.01,40,0.95,142,0.8376262972675239
184,0.03,0.01,40,0.98,204,0.8480211595135586
185,0.03,0.01,50,0.8,58,0.8395745245934233
186,0.03,0.01,50,0.85,67,0.8314555520662454
187,0.03,0.01,50,0.9,95,0.8445996674987548
188,0.03,0.01,50,0.95,128,0.8445829952013139
189,0.03,0.01,50,0.98,182,0.8519467613219541
190,0.03,0.01,60,0.8,51,0.8394906899116842
191,0.03,0.01,60,0.85,63,0.8449622728996568
192,0.03,0.01,60,0.9,88,0.8426491678731466
193,0.03,0.01,60,0.95,119,0.844933424455208
194,0.03,0.01,60,0.98,166,0.8588145810650183
195,0.03,0.01,70,0.8,45,0.8422872810641522
196,0.03,0.01,70,0.85,55,0.8472807250797029
197,0.03,0.01,70,0.9,79,0.8418313024023331
198,0.03,0.01,70,0.95,104,0.8347486375793836
199,0.03,0.01,70,0.98,147,0.8575564142370972
200,0.03,0.02,30,0.8,77,0.8312082693989199
201,0.03,0.02,30,0.85,93,0.8362055392122689
202,0.03,0.02,30,0.9,116,0.8328664833040141
203,0.03,0.02,30,0.95,167,0.8343560829380587
204,0.03,0.02,30,0.98,240,0.8426338221132061
205,0.03,0.02,40,0.8,60,0.8407487643168622
206,0.03,0.02,40,0.85,71,0.8376313680582281
207,0.03,0.02,40,0.9,97,0.8423252124229021
208,0.03,0.02,40,0.95,134,0.8369015541179738
209,0.03,0.02,40,0.98,195,0.8454493307596043
210,0.03,0.02,50,0.8,56,0.8441308549870072
211,0.03,0.02,50,0.85,65,0.8407338893444445
212,0.03,0.02,50,0.9,89,0.8468858194334958
213,0.03,0.02,50,0.95,121,0.8479909544289285
214,0.03,0.02,50,0.98,175,0.8578240342330623
215,0.03,0.02,60,0.8,48,0.833725215269193
216,0.03,0.02,60,0.85,58,0.8319635375361836
217,0.03,0.02,60,0.9,82,0.8499491223712285
218,0.03,0.02,60,0.95,110,0.8425873244861609
219,0.03,0.02,60,0.98,159,0.8583557513920796
220,0.03,0.02,70,0.8,44,0.8429114325905618
221,0.03,0.02,70,0.85,54,0.8317261223890544
222,0.03,0.02,70,0.9,77,0.8467409024840677
223,0.03,0.02,70,0.95,102,0.8432621957547799
224,0.03,0.02,70,0.98,147,0.8546861082325894
225,0.03,0.05,30,0.8,63,0.8257441931920566
226,0.03,0.05,30,0.85,74,0.8337080110086663
227,0.03,0.05,30,0.9,100,0.8327293744959627
228,0.03,0.05,30,0.95,141,0.8315705300947451
229,0.03,0.05,30,0.98,204,0.8505131402005628
230,0.03,0.05,40,0.8,56,0.8204570775156228
231,0.03,0.05,40,0.85,64,0.8432386217659215
232,0.03,0.05,40,0.9,89,0.8465441281245379
233,0.03,0.05,40,0.95,120,0.8316380546188352
234,0.03,0.05,40,0.98,174,0.8622905663938782
235,0.03,0.05,50,0.8,46,0.8216770291004654
236,0.03,0.05,50,0.85,56,0.8375194743474133
237,0.03,0.05,50,0.9,79,0.8438404857240169
238,0.03,0.05,50,0.95,108,0.8485160828581939
239,0.03,0.05,50,0.98,156,0.8597873338225286
240,0.03,0.05,60,0.8,44,0.8342719315944901
241,0.03,0.05,60,0.85,53,0.8474137656374247
242,0.03,0.05,60,0.9,76,0.84281187273728
243,0.03,0.05,60,0.95,103,0.8356552361953117
244,0.03,0.05,60,0.98,148,0.8583541569263
245,0.03,0.05,70,0.8,40,0.8385123020057481
246,0.03,0.05,70,0.85,50,0.8463479030313298
247,0.03,0.05,70,0.9,73,0.8441208778158511
248,0.03,0.05,70,0.95,98,0.8441991883433344
249,0.03,0.05,70,0.98,140,0.8621489761192624
250,0.05,0.001,30,0.8,66,0.8400505031399774
251,0.05,0.001,30,0.85,81,0.8384248705323252
252,0.05,0.001,30,0.9,106,0.8411394507682534
253,0.05,0.001,30,0.95,150,0.8381716011871709
254,0.05,0.001,30,0.98,213,0.8602363841875726
255,0.05,0.001,40,0.8,62,0.8273035714704162
256,0.05,0.001,40,0.85,74,0.8415202166663246
257,0.05,0.001,40,0.9,102,0.8427946029443121
258,0.05,0.001,40,0.95,138,0.8338734404489454
259,0.05,0.001,40,0.98,193,0.8471383717559486
260,0.05,0.001,50,0.8,56,0.8451909497687515
261,0.05,0.001,50,0.85,67,0.8444385782913102
262,0.05,0.001,50,0.9,95,0.8408368971756965
263,0.05,0.001,50,0.95,126,0.8414171480453009
264,0.05,0.001,50,0.98,176,0.8575689892638959
265,0.05,0.001,60,0.8,47,0.830430942430603
266,0.05,0.001,60,0.85,58,0.8382728530277707
267,0.05,0.001,60,0.9,82,0.8522324971904439
268,0.05,0.001,60,0.95,107,0.8473949064282238
269,0.05,0.001,60,0.98,154,0.857672983465374
270,0.05,0.001,70,0.8,44,0.8342670880256616
271,0.05,0.001,70,0.85,55,0.8483942111430054
272,0.05,0.001,70,0.9,77,0.8438473869356301
273,0.05,0.001,70,0.95,100,0.835024073325074
274,0.05,0.001,70,0.98,144,0.8544660669718066
275,0.05,0.005,30,0.8,65,0.8312243768577658
276,0.05,0.005,30,0.85,77,0.8342663493790436
277,0.05,0.005,30,0.9,104,0.850062948625595
278,0.05,0.005,30,0.95,145,0.8406207453463223
279,0.05,0.005,30,0.98,206,0.8545204420202456
280,0.05,0.005,40,0.8,59,0.8299373398843857
281,0.05,0.005,40,0.85,72,0.8334102622954372
282,0.05,0.005,40,0.9,99,0.8392358480071422
283,0.05,0.005,40,0.95,132,0.8361408343584795
284,0.05,0.005,40,0.98,187,0.8479992984286906
285,0.05,0.005,50,0.8,54,0.8426577063718586
286,0.05,0.005,50,0.85,65,0.8445443413396593
287,0.05,0.005,50,0.9,90,0.8392604926115863
288,0.05,0.005,50,0.95,122,0.850855708087993
289,0.05,0.005,50,0.98,170,0.85255080771199
290,0.05,0.005,60,0.8,47,0.8371923784095147
291,0.05,0.005,60,0.85,58,0.8320572586470272
292,0.05,0.005,60,0.9,81,0.8505375513438664
293,0.05,0.005,60,0.95,109,0.8338772258690176
294,0.05,0.005,60,0.98,154,0.8538049478440083
295,0.05,0.005,70,0.8,43,0.8452324271754025
296,0.05,0.005,70,0.85,53,0.8482872725020327
297,0.05,0.005,70,0.9,75,0.8476263703272847
298,0.05,0.005,70,0.95,98,0.8402071859785794
299,0.05,0.005,70,0.98,140,0.8635441738341283
300,0.05,0.01,30,0.8,62,0.8335479352610327
301,0.05,0.01,30,0.85,74,0.8415558739646503
302,0.05,0.01,30,0.9,101,0.8270201035732978
303,0.05,0.01,30,0.95,136,0.8411935632191385
304,0.05,0.01,30,0.98,196,0.8512884706303071
305,0.05,0.01,40,0.8,55,0.8461191422555393
306,0.05,0.01,40,0.85,64,0.8450949882358174
307,0.05,0.01,40,0.9,89,0.8474935903737668
308,0.05,0.01,40,0.95,122,0.8398051650752931
309,0.05,0.01,40,0.98,174,0.857216532956992
310,0.05,0.01,50,0.8,50,0.8433366294860928
311,0.05,0.01,50,0.85,60,0.8479188852423143
312,0.05,0.01,50,0.9,84,0.8432737184443212
313,0.05,0.01,50,0.95,112,0.8449297219975749
314,0.05,0.01,50,0.98,163,0.8569386487040564
315,0.05,0.01,60,0.8,44,0.8276077699270493
316,0.05,0.01,60,0.85,54,0.8477299058630049
317,0.05,0.01,60,0.9,78,0.8582283280201667
318,0.05,0.01,60,0.95,103,0.8418576537309672
319,0.05,0.01,60,0.98,152,0.8631012403315268
