smiles,source_columns
CCC([C@H](n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)[C@@H](C(CC)C)C(=O)[Rb])C(=O)Nc1cc(N[Fr])cc(c1)C(=O)NCCc1ccc(c(c1)O)O)C,T5.csv:smiles1
CCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])C,LOI.csv:smiles1;T5.csv:smiles1
CCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])CC,LOI.csv:smiles1;T5.csv:smiles1
CCCCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])CCCC,LOI.csv:smiles1;T5.csv:smiles1
CCCCCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])CCCCC,LOI.csv:smiles1;T5.csv:smiles1
CCCCCCCCCCCCCCCCCCN(Cc1c(O)ccc(c1[Rb])Sc1ccc2c(c1)CN(CO2)CCCCCCCCCCCCCCCCCC)C[Fr],T5.csv:smiles1
CCCCCCCCCCCCCCCCCCN(Cc1c([Rb])c(CC=C)cc(c1O)OC)[Fr],T5.csv:smiles1;Tg.csv:smiles1
CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1c(Br)cc(cc1Br)C(c1cc(Br)c(c(c1)Br)O[Fr])(C)C)[Rb],LOI.csv:smiles1;T5.csv:smiles1
CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)C(c1ccc(cc1)O[Fr])(C)C)[Rb],LOI.csv:smiles1;T5.csv:smiles1
CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)C1(OC(=O)c2c1cccc2)c1ccc(cc1)O[Fr])[Rb],LOI.csv:smiles1;T5.csv:smiles1
CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)O[Fr])[Rb],LOI.csv:smiles1;T5.csv:smiles1
CCOP(CC)(OCC)=O,LOI.csv:mix_smiles1;Tg.csv:mix_smiles1
CCOP(COP(OCCOC(C([Fr])C[Rb])=O)(C1=CC=CC=C1)=O)(OCC)=O,LOI.csv:smiles2;UL-94.csv:smiles2
CCOP(OCC)(C(C1=C(C=CC=C2)C2=CC=C1)OC(C(C)([Fr])C[Rb])=O)=O,LOI.csv:smiles1;LOI.csv:smiles2
CCOP(OCC)(C(C1=CC=C(Br)C=C1)OC(C(C)([Fr])C[Rb])=O)=O,LOI.csv:smiles1;LOI.csv:smiles2
CCOP(OCC)(C(CCCCC)OC(C(C)([Fr])C[Rb])=O)=O,LOI.csv:smiles1;LOI.csv:smiles2
CCOP(OCC)(COC(C(C)([Fr])C[Rb])=O)=O,LOI.csv:smiles1
CCO[Si](CCCNP1(NCCC[Si](OCC)(OCC)OCC)=NP(NCCC[Si](OCC)(OCC)OCC)(NCCC[Si](OCC)(OCC)OCC)=NP(NCCC[Si](OCC)(OCC)OCC)(NCCC[Si](OCC)(OCC)OCC)=N1)(OCC)OCC,LOI.csv:mix_smiles2;T5.csv:mix_smiles2;UL-94.csv:mix_smiles2
CCOc1cc(ccc1OP(=O)(c1ccccc1)[Rb])/N=C/c1ccc(cc1)O[Fr],LOI.csv:smiles1
CN1C2=CC(C(OCCO[Rb])=O)=CC=C2N=C1C3=CC=C(C=C3)C([Fr])=O,LOI.csv:smiles2;UL-94.csv:smiles2
COC(=O)CCC(c1ccc(c(c1[Rb])CN(c1ccccc1)C[Fr])O)(c1ccc2c(c1)CN(CO2)c1ccccc1)C,LOI.csv:smiles1;T5.csv:smiles1
COC(=O)CCN(CCO)CCO,LOI.csv:smiles1;T5.csv:smiles1
COc1cc(/C=C/C(=O)/C=C/c2ccc(c(c2)OC)O[Fr])ccc1OP(=O)(Nc1ccc(cc1)Br)[Rb],LOI.csv:smiles1
COc1cc(/C=C/C(=O)/C=C/c2ccc(c(c2)OC)O[Fr])ccc1OP(=O)(Nc1ccc(cc1)C)[Rb],LOI.csv:smiles1
COc1cc(/C=C/C(=O)/C=C/c2ccc(c(c2)OC)O[Fr])ccc1OP(=O)(Nc1ccc(cc1)Cl)[Rb],LOI.csv:smiles1
COc1cc(/C=C/C(=O)/C=C/c2ccc(c(c2)OC)O[Fr])ccc1OP(=O)(Nc1ccccc1)[Rb],LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Br)[Rb])/C=C/1\CC(=O)C/C(=C\c2ccc(c(c2)OC)O[Fr])/C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Br)[Rb])/C=C/1\CC/C(=C/c2ccc(c(c2)OC)O[Fr])/CC(=O)C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Br)[Rb])/C=C/1\CC/C(=C\c2ccc(c(c2)O[Fr])O)/C1=O,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)C)[Rb])/C=C/1\CC(=O)C/C(=C\c2ccc(c(c2)OC)O[Fr])/C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)C)[Rb])/C=C/1\CC/C(=C/c2ccc(c(c2)OC)O[Fr])/CC(=O)C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)C)[Rb])/C=C/1\CC/C(=C\c2ccc(c(c2)O[Fr])O)/C1=O,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Cl)[Rb])/C=C/1\CC(=O)C/C(=C\c2ccc(c(c2)OC)O[Fr])/C1,LOI.csv:smiles1
COc1cc(ccc1OP(=O)(Nc1ccc(cc1)Cl)[Rb])/C=C/1\CC/C(=C/c2ccc(c(c2)OC)O[Fr])/CC(=O)C1,LOI.csv:smiles1
