smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C1=CC=C(CNC2=CC=CC=C2)C=C1,-3.068975,-5.7654943,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC=O,6.036323,2.8926864,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C)C=C1,6.1923594,2.5831392,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(C)=O,6.2708535,3.0065718,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,-3.1093056,-5.797769,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
POC1=CC=CC=C1,29.94104,4.331711,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=POC1=CC=CC=C1,29.720938,4.3074155,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCC1=CC=CC=C1,6.4195933,2.7797432,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C,-0.9392356,-11.01579,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCN,6.029354,6.0481668,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C,-0.85786647,-10.894015,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCC,6.1252737,5.7921634,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC,24.24064,-3.8672411,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(O)C1=CC=CC=C1,6.3636584,2.9578192,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(O)C=C1,4.4863205,6.7751155,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCC1=CC=CC=C1,6.4387717,2.6854022,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C)C=CC=C1,-2.2149765,9.140318,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C,-2.233589,9.074154,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC1=CC=CC=C1,1.1502463,13.846782,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C=O)C=C1,6.292441,3.68163,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(=O)C1=CC=CC=C1,6.322124,2.5920563,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=C(C)C=C1,3.744729,8.049351,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C=O)=CC=C1,9.5313225,-12.4148245,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C=O)=C1,9.582261,-12.498074,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=CC=C1,4.5417223,6.8217936,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCNC,-2.0212786,4.135098,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)CC,-1.0229654,-10.768007,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](C)=O,24.214483,-3.8551474,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC=O,5.3709226,6.183858,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)C1=CC=CC=C1,1.2255468,13.970383,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C=O)C=CC=C1,-2.2043314,8.980687,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C=O,-2.0985293,9.24648,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
