smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C1=CC=C(CNC2=CC=CC=C2)C=C1,4.336214,11.117877,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC=O,3.0109348,11.000192,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C)C=C1,2.229413,10.660845,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(C)=O,2.9537444,11.188035,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,4.372346,11.101231,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
POC1=CC=CC=C1,9.65331,10.22888,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=POC1=CC=CC=C1,9.437865,10.290007,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCC1=CC=CC=C1,1.9387425,10.850177,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C,14.475025,0.9665149,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCN,2.5685825,7.748227,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C,6.5750737,11.564781,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCC,2.8772218,7.809651,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC,11.040464,0.9589527,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(O)C1=CC=CC=C1,1.8344091,10.392816,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(O)C=C1,2.793604,5.450249,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCC1=CC=CC=C1,2.5427003,11.179425,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C)C=CC=C1,8.977784,28.850378,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C,8.924286,28.814226,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC1=CC=CC=C1,11.012746,1.0310184,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C=O)C=C1,2.2036858,9.829492,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(=O)C1=CC=CC=C1,2.603447,11.222119,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=C(C)C=C1,4.3004365,5.225138,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C=O)=CC=C1,-5.663713,9.90845,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C=O)=C1,-5.311908,10.104315,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=CC=C1,2.3725512,5.3654146,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCNC,4.9350214,-0.38812497,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)CC,6.731052,11.155051,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](C)=O,10.779989,1.5900241,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC=O,2.5149682,7.7729993,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)C1=CC=CC=C1,10.667121,1.4812235,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C=O)C=CC=C1,6.1989403,12.516385,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C=O,6.1854506,12.4356165,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=CC=C1,2.7021785,5.797426,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=CC=C2)C=C1,3.1255488,5.75629,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC(C=O)=CC=C1,-5.0856133,10.129687,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC(C=O)=C1,-5.0738206,10.1566725,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCC,3.228733,7.716745,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPO,7.298976,18.37267,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)O,7.2619267,18.391613,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC1=CC=CC=C1,2.8232625,11.345234,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C)C,2.7203782,6.108343,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCCO,11.723517,9.717437,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(OC2=CC=CC=C2)C=C1,3.8346522,4.526361,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC(C)=CC=C1,17.518812,10.557297,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC(C)=C1,17.464207,10.670773,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCCO,11.918702,9.89041,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CN)=CC=C1,-4.4156165,10.090445,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CN)=C1,-4.4956355,10.350127,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(=O)C1=CC=CC=C1,2.865843,11.241576,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(=O)NC,5.201022,0.10023107,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(N)=O,5.2442217,-0.21893741,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(PC2=CC=CC=C2)C=C1,11.0333,1.1112071,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=CC=C1,2.8505926,6.058316,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=C(C=O)C=CC=C1,8.917068,28.80974,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1C=O,8.987932,28.921825,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,2.796235,6.2062483,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=C(O)C=C1,2.6115396,5.4732447,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COPC,7.3106403,18.336586,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=COCCO,11.917916,9.734746,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC(C)=CC=C1,17.256144,10.39192,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC(C)=C1,17.406126,10.464877,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO[PH](C)=O,7.3643703,18.342495,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C(N)=O)=CC=C1,-4.6504035,10.046633,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C(N)=O)=C1,-4.6869097,10.191772,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=C(O)C=C1,2.6316245,5.7068686,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCN,2.6395538,7.5324254,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=C(C=O)C=C1,2.2576141,11.022821,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCCO,11.853083,9.789412,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
