DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,UL-94
10.1016/j.compositesb.2021.109109,copolymer,,PET-co-pHPI0,O=C(OCCOC(C(C=C1)=CC=C1C([Fr])=O)=O)C2=CC(O)=C(C=C2)N3C(C4=CC=C(C=C4C3=O)C(OCCO[Rb])=O)=O,O=C([Fr])C1=CC=C(C(=O)OCCO[Rb])C=C1,O=C([Fr])C1=CC(O)=C(N2C(=O)C3=CC=C(C(=O)OCCO[Rb])C=C3C2=O)C=C1,PET,,100,,4-HPIM,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.compositesb.2021.108664,copolymer,,PTT,O=C(C1=CC=C(C=C1)C(OCCCO[Rb])=O)[Fr],O=C(C1=CC=C(C=C1)C(OCCCO[Rb])=O)[Fr],O=C([Fr])C1=CC=C(C#CC2=CC=CC=C2)C=C1C(=O)OCCCO[Rb],PTT,,100,,,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.compositesb.2021.108664,copolymer,,PTTB10,O=C(C1=CC=C(C=C1)C(OCCCOC(C2=CC(C(OCCCO[Rb])=O)=CC(N3C(C4=C(C3=O)C=CC=C4)=O)=C2)=O)=O)[Fr],O=C(C1=CC=C(C=C1)C(OCCCO[Rb])=O)[Fr],O=C([Fr])C1=CC=C(C#CC2=CC=CC=C2)C=C1C(=O)OCCCO[Rb],PTT,,100,,PEPA,,10,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.compositesb.2021.108664,copolymer,,PTTP10,O=C(C1=CC=C(C=C1)C(OCCCOC(C2=CC=C(C=C2C(OCCCO[Rb])=O)C#CC3=CC=CC=C3)=O)=O)[Fr],O=C(C1=CC=C(C=C1)C(OCCCO[Rb])=O)[Fr],O=C(C1=CC(C(OCCCO[Rb])=O)=CC(N2C(C3=C(C2=O)C=CC=C3)=O)=C1)[Fr],PTT,,100,,BN,,10,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.compositesb.2021.108664,copolymer,,PTTN10,O=C([Fr])C1=CC=C(C(OCCCOC(C2=CC(C(OCCCO[Rb])=O)=CC(N3C(C4=C(C=C(C#CC5=CC=CC=C5)C=C4)C3=O)=O)=C2)=O)=O)C=C1,O=C(C1=CC=C(C=C1)C(OCCCO[Rb])=O)[Fr],O=C(C1=CC(C(OCCCO[Rb])=O)=CC(N2C(C3=C(C2=O)C=C(C=C3)C#CC4=CC=CC=C4)=O)=C1)[Fr],PTT,,100,,PN,,10,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymer.2021.123430,copolymer,,PBT,O=C([Fr])C1=CC=C(C=C1)C(OCCCCO[Rb])=O,O=C([Fr])C1=CC=C(C=C1)C(OCCCCO[Rb])=O,[Fr]C(C1=CC=C2C(N(C(C2=C1)=O)C3=C(C=CC(C(OCCCCO[Rb])=O)=C3)O)=O)=O,PBT,,100,,HPIM,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymer.2021.123430,copolymer,,PBT-co-HPI20,O=C(OCCCCOC(C1=CC(N(C(C2=C3)=O)C(C2=CC=C3C([Fr])=O)=O)=C(C=C1)O)=O)C4=CC=C(C=C4)C(OCCCCO[Rb])=O,O=C([Fr])C1=CC=C(C=C1)C(OCCCCO[Rb])=O,[Fr]C(C1=CC=C2C(N(C(C2=C1)=O)C3=C(C=CC(C(OCCCCO[Rb])=O)=C3)O)=O)=O,PBT,,100,,HPIM,,20,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymer.2018.08.004,copolymer,,PET,O=C([Fr])C1=CC=C(C=C1)C(OCCO[Rb])=O,O=C([Fr])C1=CC=C(C=C1)C(OCCO[Rb])=O,[Rb]OCCOC(C1=CC(C([Fr])=O)=CC(/N=C/C2=C(C=CC=C2)C#N)=C1)=O,PET,,100,,CBAA,,0,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymer.2024.126780,copolymer,,PA6,[Fr]C(CCCCCN[Rb])=O,[Fr]C(CCCCCN[Rb])=O,[Fr]C(CCCCCNC(C1=CC=C(C(O)=C1)N2C(C3=CC=C(C=C3C2=O)C([Rb])=O)=O)=O)=O,PA6,,100,,HPI,,0,,,,,,,,,,,,,,,,,non-V-0
10.1039/C6RA17108G,copolymer,,PA-1,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,O=C(C(C([Fr])=O)CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)NCCCCCN[Rb],PA,100,,,DDPDA,0,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.polymdegradstab.2023.110416,copolymer,,PA1010,[Rb]NCCCCCCCCCCNC(CCCCCCCCC([Fr])=O)=O,[Rb]NCCCCCCCCCCNC(CCCCCCCCC([Fr])=O)=O,O=C(C1=CC=C(C=C1)OC2=NC(OC3=CC=C(C=C3)C([Fr])=O)=NC(NC4CC(C)(NC(C)(C4)C)C)=N2)NCCCCCCCCCC[Rb],PA1010,100,,,PDB,0,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,MMA-HPD5,O=C(C(CC(C(OC)=O)(C)C[Rb])[Fr])OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O,CC(C(OC)=O)([Fr])C[Rb],CCOP(COP(OCCOC(C([Fr])C[Rb])=O)(C1=CC=CC=C1)=O)(OCC)=O,PMMA,94,,,HPD,6,,,,,,,,,,,,,,,,,,non-V-0
10.1016/j.reactfunctpolym.2020.104631,copolymer,,MMA-HPD10,O=C(C(CC(C(OC)=O)(C)C[Rb])[Fr])OCCOP(OCP(OCC)(OCC)=O)(C1=CC=CC=C1)=O,CC(C(OC)=O)([Fr])C[Rb],CCOP(COP(OCCOC(C([Fr])C[Rb])=O)(C1=CC=CC=C1)=O)(OCC)=O,PMMA,90,,,HPD,10,,,,,,,,,,,,,,,,,,non-V-0
