smiles,umap_1,umap_2,selected,random_state,n_neighbors,min_dist,metric,initialization,scaling
C1=CC=C(CNC2=CC=CC=C2)C=C1,-1.9639155,5.6100936,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC=O,12.156437,-0.06400022,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C)C=C1,12.720931,-0.0960008,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(C)=O,12.124058,-0.4017031,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,-2.1396782,5.5128026,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
POC1=CC=CC=C1,1.0157654,-1.426741,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=POC1=CC=CC=C1,1.0325885,-1.4185612,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCC1=CC=CC=C1,12.278521,-1.0650996,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)C,-6.083946,15.58648,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCN,10.982725,4.9618897,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)C,0.062460743,5.982794,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCC,12.07789,4.5368676,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC,-10.074069,15.233439,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C(O)C1=CC=CC=C1,12.078532,-1.2925899,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(O)C=C1,-2.7615335,1.6598693,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCC1=CC=CC=C1,12.40717,-0.50769085,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C)C=CC=C1,2.3162992,-4.6546493,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C,2.136844,-4.7107115,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPC1=CC=CC=C1,-10.077967,15.140036,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(C=O)C=C1,12.502407,0.72150177,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC(=O)C1=CC=CC=C1,12.564441,-0.51245964,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COC1=CC=C(C)C=C1,-2.5655026,-0.0012189486,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C=O)=CC=C1,11.328498,12.64446,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C=O)=C1,11.2909775,12.626323,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=CC=C1,-2.9006436,1.8153018,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCNC,5.9937205,6.48278,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCN(C)CC,0.29602087,6.422714,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](C)=O,-9.720861,15.155737,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCC=O,10.657716,5.3719087,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)C1=CC=CC=C1,-9.807697,14.974969,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(C=O)C=CC=C1,-0.1781249,4.9298806,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C=O,0.053129673,4.903909,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=CC=C1,-2.548943,1.0147809,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=CC=C2)C=C1,-2.434698,0.66259855,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC(C=O)=CC=C1,-3.195444,10.324492,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC(C=O)=C1,-3.0692065,10.376592,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCCC,12.842297,4.690945,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CPO,-8.194349,15.832183,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C[PH](=O)O,-8.18913,15.896233,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCC1=CC=CC=C1,12.304845,-0.71633863,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C)C,-1.9298863,0.34035152,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OCCO,1.2360268,20.825853,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(OC2=CC=CC=C2)C=C1,-2.580374,-0.5260446,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC(C)=CC=C1,-2.3403494,9.685246,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNCC1=CC=CC(C)=C1,-2.4495053,9.930794,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COCCO,1.0559415,21.031965,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CN)=CC=C1,-2.3638723,9.973208,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CN)=C1,-2.4186893,10.062976,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOC(=O)C1=CC=CC=C1,12.295402,-0.36905017,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(=O)NC,5.652081,6.8401155,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC(N)=O,5.934961,6.8045125,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C(PC2=CC=CC=C2)C=C1,-9.983157,15.2131605,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=CC=C1,-2.2035885,0.6101877,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=C(C=O)C=CC=C1,2.3608372,-4.5561814,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=CC=C1C=O,2.143881,-4.753635,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,-2.1181002,0.3217988,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)C1=CC=C(O)C=C1,-2.9785666,1.8650882,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
COPC,-8.1863575,15.76969,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=COCCO,1.337245,20.9619,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC(C)=CC=C1,11.385053,12.7090225,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CNC(=O)C1=CC=CC(C)=C1,11.267486,12.921448,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CO[PH](C)=O,-8.249266,15.697257,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(C(N)=O)=CC=C1,-2.6914508,10.301468,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(C(N)=O)=C1,-2.6705592,10.260899,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=CC=C1)C1=CC=C(O)C=C1,-2.7288656,1.3946003,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCN,11.192508,4.958414,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=CC1=CC=C(C=O)C=C1,12.870233,-0.11944227,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCOCCO,1.2103589,20.899017,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1CN,1.9535959,-4.912159,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1C(N)=O,-0.069186844,5.167388,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NCC1=CC=CC=C1C=O,-0.049384493,5.073231,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC2=C(C=C1)CNC2,1.9903708,-5.138003,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
C1=CC=C2CNCC2=C1,2.0716343,-5.091306,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=C1C=CC=C2,0.046174362,5.3585663,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NCC2=CC=CC=C12,0.23954467,5.308034,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN(C)CC1=CC=CC=C1,-6.232399,15.868483,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(=O)OCCO,1.3246549,21.177319,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
NC(=O)C1=CC=CC=C1C=O,1.989823,-4.917802,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=C1C=CC=C2,1.9424963,-5.2827725,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=C1NC(=O)C2=CC=CC=C12,2.089426,-5.0171413,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,-2.428518,0.6834191,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCO,-0.9095028,-4.7292705,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](C1=CC=CC=C1)C1=CC=CC=C1,-9.663554,15.323791,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=C(O)C=CC=C1,-11.152058,-6.3864427,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC=C1O,-11.493394,-6.245585,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OPC1=CC=CC=C1,13.051774,-6.962876,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC(CNC2=CC=CC=C2)=CC=C1,22.031715,-12.880964,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=CC(CNC2=CC=CC=C2)=C1,21.838705,-13.066952,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCCCNC,5.701799,6.430522,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](O)C1=CC=CC=C1,12.942999,-6.949575,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC1=CC=C(N)C=C1,2.1311374,-14.02294,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,-2.4620583,1.0488627,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CCC1=CC=C(OC)C=C1,-2.6518087,1.3030452,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
OPO,19.123024,-4.071922,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
O=[PH](O)O,19.147814,-3.9898856,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=C(C=CC=C2)C1,-6.6131415,15.970183,True,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=CC=CC=C2C1,-6.409709,15.784137,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=C(C=CC=C2)C1=O,0.25878984,5.524278,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
CN1CC2=CC=CC=C2C1=O,0.3663027,5.5839763,False,48,5,0.8,euclidean,random,StandardScaler_per_sample_dimension
