DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,Tg,source_record_id,source_row_index,base_mass,base_moles,composition_mode,review_reason,exclusion_reason,mutual_exclusivity_check,co_n_components,co_source_fields,copolymer_amount_basis,co_component_molecular_weights,copolymer_component_molecular_weights,co_component_moles,copolymer_component_moles,co_mole_fractions,copolymer_mole_fractions,co_component_masses,co_conversions,copolymer_conversions,co_zero_components_ignored,blend_source_fields,blend_amount_basis,blend_component_masses,blend_weight_fractions,blend_component_moles,blend_mole_fractions,blend_component_molecular_weights,blend_conversions,blend_zero_components_ignored,composition_rule_version,molecular_weight_method,rdkit_version,co_content_labels,mix_content_labels,composition_valid
10.1177/0954008320910807,homopolymer,,,,[H]Nc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[H],,,,100.0,,,,0.0,,,,,320.0,6ec2052d5c0eecd664bb9194970f0e9bd863190faad1d7333cf5f7ca6fb36f54,140,74524.94286420001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[745.2494286420001],[745.2494286420001],[100.0],[100.0],[1.0],[1.0],[74524.94286420001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[74524.94286420001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1177/0954008320910807,homopolymer,,,,[H]Nc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[H],,,,100.0,,,,0.0,,,,,320.0,6ec2052d5c0eecd664bb9194970f0e9bd863190faad1d7333cf5f7ca6fb36f54,141,74524.94286420001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[745.2494286420001],[745.2494286420001],[100.0],[100.0],[1.0],[1.0],[74524.94286420001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[74524.94286420001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1177/0954008320910807,homopolymer,,,,[H]Nc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1cccc(c1)C(=O)[H],,,,100.0,,,,0.0,,,,,323.0,e1a4219c0adee36b8a737ce2597d0017c6ffb691183b850f57f63fdd078fe52e,142,65322.32138940001,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[653.2232138940001],[653.2232138940001],[100.0],[100.0],[1.0],[1.0],[65322.32138940001],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[65322.32138940001],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/1023666X.2021.1891379,homopolymer,,,,[H]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,193.1,d2f797f7ee2b031dea6477edaa7317c44d298271717ab83200f6f246a465b077,143,54321.58064079999,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[543.2158064079999],[543.2158064079999],[100.0],[100.0],[1.0],[1.0],[54321.58064079999],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[54321.58064079999],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/1023666X.2021.1891379,homopolymer,,,,[H]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,193.1,d2f797f7ee2b031dea6477edaa7317c44d298271717ab83200f6f246a465b077,144,54321.58064079999,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[543.2158064079999],[543.2158064079999],[100.0],[100.0],[1.0],[1.0],[54321.58064079999],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[54321.58064079999],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/15685551.2020.1795435,homopolymer,,,,[H]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,188.0,f8018af2cc60d02daf11a5f30bb526a47da0328f106a0d0df69da0bce1bd3a13,145,63723.25190919999,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[637.232519092],[637.232519092],[100.0],[100.0],[1.0],[1.0],[63723.25190919999],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[63723.25190919999],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/15685551.2020.1795435,homopolymer,,,,[H]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,188.0,f8018af2cc60d02daf11a5f30bb526a47da0328f106a0d0df69da0bce1bd3a13,146,63723.25190919999,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[637.232519092],[637.232519092],[100.0],[100.0],[1.0],[1.0],[63723.25190919999],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[63723.25190919999],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/15685551.2020.1795435,homopolymer,,,,[H]Nc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,200.0,7d16a1060bb82b98d45f01034ebac644c65d38343143baeca6c06b0473152414,147,54718.55689,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[547.1855689],[547.1855689],[100.0],[100.0],[1.0],[1.0],[54718.55689],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[54718.55689],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/15685551.2020.1795435,homopolymer,,,,[H]Nc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,200.0,7d16a1060bb82b98d45f01034ebac644c65d38343143baeca6c06b0473152414,148,54718.55689,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[547.1855689],[547.1855689],[100.0],[100.0],[1.0],[1.0],[54718.55689],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[54718.55689],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
10.1080/1023666X.2021.1891379,homopolymer,,,,[H]Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)CC(=O)[H],,,,100.0,,,,0.0,,,,,194.42,21cc1d77aa158cf6bb8fe6e7001d527def1d2e803f0b469170298da6ac53ea0b,149,54519.50709639999,100.0,homopolymer,,,passed,1,"[""mol1""]","[""mol1""]",[545.1950709639999],[545.1950709639999],[100.0],[100.0],[1.0],[1.0],[54519.50709639999],"[""molar_amount_to_mass_by_exact_molecular_weight""]","[""molar_amount_to_mass_by_exact_molecular_weight""]",[],[],[],[54519.50709639999],[1.0],[100.0],[1.0],[],[],[],hierarchical_mole_internal_mass_blend_v1,RDKit.Chem.rdMolDescriptors.CalcExactMolWt,2022.09.5,"[null,null]","[null,null,null,null]",True
