shap_rank,feature,display_feature,mean_abs_shap,mean_shap,feature_mean,feature_std,mean_abs_shap_percent
1,C1=CC=CC=C1,c1ccccc1,38.1075149735327,6.285535527676209,2.5709002,2.558461,25.578712551087623
2,N,N,13.65706081156604,-2.040649905232145,1.5807236,2.2964158,9.166959142688675
3,CC,CC,5.742419670021384,-1.5088408764210604,5.8862014,4.740011,3.8544550120679726
4,C,C,5.700367068989815,0.017826180781917233,22.298252,17.69952,3.826228259561041
5,CCO,CCO,5.60013013502061,-1.3787195537484003,1.5958772,1.9519573,3.7589467345709857
6,CNC,CNC,3.373306087304061,0.2501354032901579,1.2366806,2.0888977,2.2642470078123216
7,CC1=CC=CC=C1,Cc1ccccc1,3.261064129891324,-0.041621587330854824,2.870608,2.720792,2.188907412280421
8,CCCC=O,CCCC=O,2.570579521045105,-0.2328301878260837,0.6483749,2.03245,1.7254369565738645
9,COC1=CC=C(C)C=C1,COc1ccc(C)cc1,2.568391776200556,-0.2978870052326848,0.37504476,1.0955971,1.7239684877809585
10,CN,CN,2.5197412280304725,-0.05698784877881844,2.193209,3.2358134,1.6913130289309204
11,Br,Br,2.5163478757205624,-0.4497762266385358,0.27799228,1.0067174,1.6890353263995417
12,CCC(C)C=O,CCC(C)C=O,2.4807020248782723,-0.4485732548022489,0.40711343,1.9339337,1.6651089440844746
13,CC(C)C,CC(C)C,2.1763049811792436,0.07415911483596045,0.7262715,1.934535,1.460790071872889
14,C1=CC=C(CNC2=CC=CC=C2)C=C1,c1ccc(CNc2ccccc2)cc1,2.060456127455972,0.3094436013153858,0.28610232,0.73506784,1.383029437761253
15,CC1=C(C)C=CC=C1,Cc1ccccc1C,1.9233878723422493,-0.05445145962526708,0.23297831,0.57864976,1.2910258132827706
16,CCC,CCC,1.8870683303475562,1.193925597528585,3.1389802,5.3734455,1.266647232697953
17,CCCNC1=CC=CC=C1,CCCNc1ccccc1,1.8685892234134023,0.7036427153538058,0.26952583,0.78186053,1.2542435961764473
18,COC=O,COC=O,1.8258244681501954,-1.047786372455809,0.4914317,0.522756,1.2255388280236323
19,CN(CC1=CC=CC=C1)C1=CC=CC=C1,CN(Cc1ccccc1)c1ccccc1,1.690391225637918,-0.1809719862434444,0.05032956,0.2641291,1.1346326646989096
20,CCCO,CCCO,1.6569822351039802,0.2269874716602016,0.32523543,1.416863,1.1122077186985437
