task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Tg,MLP,success,,518,156,Tg,regression,86.09626770019531,0.7759775030896272,0.0823403885286558,35.366460295292576,8.574516469729735,20.06679320828868,2.7973786710330364
Tg,SVR/SVM,success,,518,156,Tg,regression,2.894313097000122,0.8201968169374272,0.06745710865900886,31.485619074161484,7.851281332160815,17.54098628385859,3.874431318715619
Tg,Ridge,success,,518,156,Tg,regression,0.9773671627044678,0.790953541761363,0.03905743814262855,34.337999954994764,5.683273411673354,21.65076195847906,3.099284049947429
Tg,Lasso,success,,518,156,Tg,regression,25.941530466079712,0.7830841872986524,0.03272707639602514,34.88854421437069,4.490320865594834,23.378377620329196,3.773562425130881
Tg,KNN,success,,518,156,Tg,regression,1.9596104621887207,0.8071418088406951,0.12429734507062015,31.70140110576861,11.531965809412323,15.796149290627843,4.450220171012384
Tg,DecisionTree,success,,518,156,Tg,regression,1.5971269607543945,0.7311480445813305,0.10008788463715006,38.140281382300785,8.208202371436037,20.691442238267282,4.094576785688036
Tg,LightGBM,success,,518,156,Tg,regression,11.370063304901123,0.8817938694300473,0.03359127567363224,25.654613703988424,4.802225640939021,15.186782538261422,1.67851838350081
Tg,GradientBoosting,success,,518,156,Tg,regression,76.16998291015625,0.8741418708476075,0.05244982757469674,26.280997217986794,6.533597284993999,15.373047511810508,1.8469821826585597
Tg,RandomForest,success,,518,156,Tg,regression,118.303946018219,0.8591150900820379,0.05582468125278371,27.77054542747685,6.659191056159874,16.694620658131182,2.9330399570734875
Tg,ExtraTrees,success,,518,156,Tg,regression,86.90456104278564,0.881680211847588,0.05622299430816402,25.336988603934664,6.870406381037341,13.92918252474305,2.311485588802053
Tg,XGBoost,success,,518,156,Tg,regression,33.48811721801758,0.8665596960678448,0.05344172404043848,26.950257989889145,5.953919883008297,15.413500101726182,2.3214392056756594
