R2,RMSE,MAE,task,model,fold,best_score_inner_cv,selection_method,search_error
0.7861579002431565,35.4747487336191,19.10153983863408,Tg,MLP,1,0.7386854153713963,random_search,
0.7898978799224404,35.77049990263023,20.932021735011407,Tg,MLP,2,0.8136889143711508,random_search,
0.8400355376265826,26.213805731762317,17.441218900992528,Tg,MLP,3,0.7635651788906559,random_search,
0.8289365484393753,30.39104262451734,18.346340487650515,Tg,MLP,4,0.7674561169575439,random_search,
0.634859649216581,48.98220448393388,24.512845079154893,Tg,MLP,5,0.7777750266928991,random_search,
0.8516456179286861,29.547647713769013,15.20696496949183,Tg,SVR/SVM,1,0.7552548964702108,random_search,
0.7636552788510023,37.93872621955816,21.59645749083506,Tg,SVR/SVM,2,0.8202489443768405,random_search,
0.8315253875185603,26.90206107202025,15.129506142789221,Tg,SVR/SVM,3,0.7819228009568023,random_search,
0.9101234989659535,22.028760573766416,13.879939587261282,Tg,SVR/SVM,4,0.7722080586705733,random_search,
0.7440343014229336,41.010899791693596,21.892063228915557,Tg,SVR/SVM,5,0.8174722460314393,random_search,
0.8106113027879714,33.38487475110872,19.71161703004714,Tg,Ridge,1,0.7765446222630543,random_search,
0.7641160232223183,37.90172818136952,24.069585552695877,Tg,Ridge,2,0.7710712891565673,random_search,
0.8377065613041876,26.403943961044153,18.11274907583477,Tg,Ridge,3,0.7579302318138659,random_search,
0.8029976157094085,32.613899273772866,20.769844358141494,Tg,Ridge,4,0.7552905091231308,random_search,
0.7393362057829296,41.38555360767856,25.590013775676013,Tg,Ridge,5,0.7918667332032777,random_search,
0.8268150109764208,31.92477507674745,19.962839675270434,Tg,Lasso,1,0.7525322473631304,random_search,
0.7470408202529987,39.24958004820073,27.198718835870828,Tg,Lasso,2,0.763702911057267,random_search,
0.786994720540306,30.24917295921546,20.82889082059514,Tg,Lasso,3,0.7627223138381308,random_search,
0.7995358992652708,32.89919636157632,21.141756527366503,Tg,Lasso,4,0.7527709222507665,random_search,
0.7550344854582652,40.11999662611349,27.759682242543047,Tg,Lasso,5,0.7795783906420729,random_search,
0.8649634164865778,28.190218608739034,16.318085372049122,Tg,KNN,1,0.792875470133941,random_search,
0.8615642419982337,29.03580918649055,15.134653433220343,Tg,KNN,2,0.8279837967356478,random_search,
0.7614861516259327,32.009222188319875,15.603471834610572,Tg,KNN,3,0.8190351239375749,random_search,
0.9338362650416074,18.900660925166047,9.700657536754154,Tg,KNN,4,0.8081072046686657,random_search,
0.6138589690511231,50.37109462012754,22.223878276505037,Tg,KNN,5,0.8447292159536334,random_search,
0.714932130989183,40.958765412074584,21.401969289583334,Tg,DecisionTree,1,0.7421749948618697,random_search,
0.6410053071321955,46.75777172309277,26.41674270080341,Tg,DecisionTree,2,0.7454628593953098,random_search,
0.6523414761489212,38.64512907136351,20.303172387072646,Tg,DecisionTree,3,0.7722940035428856,random_search,
0.8882601636787935,24.5624113232491,14.898088365557387,Tg,DecisionTree,4,0.7889594611028622,random_search,
0.7592011449575592,39.77732938172395,20.437238448319636,Tg,DecisionTree,5,0.8234381597946387,random_search,
0.9125213521114058,22.689438781280987,14.348799070361995,Tg,LightGBM,1,0.8181084854495428,random_search,
0.8844257802680189,26.530184928763788,16.83921442398408,Tg,LightGBM,2,0.8786041486008335,random_search,
0.8794680796402494,22.754608052945613,13.851285151640603,Tg,LightGBM,3,0.8749261596540023,random_search,
0.9054908309690173,22.589361560857363,13.727183605291364,Tg,LightGBM,4,0.8712720708918744,random_search,
0.8270633041615444,33.709475196094374,17.16743044002908,Tg,LightGBM,5,0.8627088121355371,random_search,
0.8919968580333689,25.211049082114187,15.88569720815899,Tg,GradientBoosting,1,0.8419806698011331,random_search,
0.8963593740645921,25.12319133043508,16.32464677807408,Tg,GradientBoosting,2,0.8737356534905539,random_search,
0.8678269942918136,23.828115928656317,15.087936560180053,Tg,GradientBoosting,3,0.8611826504808819,random_search,
0.9264795855126452,19.923744226241645,12.364744294143565,Tg,GradientBoosting,4,0.8689112430850643,random_search,
0.7880465423356178,37.31888552248675,17.202212718495854,Tg,GradientBoosting,5,0.8777824402470911,random_search,
0.8794926390886376,26.6305116598411,16.419439023466786,Tg,RandomForest,1,0.8104646494265109,random_search,
0.8737879529607674,27.72427496836288,17.415969013305375,Tg,RandomForest,2,0.8444729883503018,random_search,
0.8390254277841545,26.296440191697346,16.720649733903038,Tg,RandomForest,3,0.8269466750507131,random_search,
0.9268661455351643,19.87129706977914,12.353485413644348,Tg,RandomForest,4,0.8268951124726192,random_search,
0.7764032850414657,38.33020324770378,20.56356010633636,Tg,RandomForest,5,0.8449267324920958,random_search,
0.9235173647468887,21.21554265210372,12.924573011854323,Tg,ExtraTrees,1,0.8463642853087595,random_search,
0.8980307829083917,24.91978750016063,14.079861985072291,Tg,ExtraTrees,2,0.886294387355305,random_search,
0.866340335828058,23.961748416080905,12.892338789819544,Tg,ExtraTrees,3,0.8716401148106998,random_search,
0.929078998468739,19.568359318138683,11.91844355449972,Tg,ExtraTrees,4,0.8685684229977545,random_search,
0.7914335772858628,37.01950513318937,17.83069528246938,Tg,ExtraTrees,5,0.8905514581124971,random_search,
0.9075974522704018,23.31925630529577,14.233746585615773,Tg,XGBoost,1,0.8459026961806795,random_search,
0.8892357884718713,25.972246876514713,16.220563736442212,Tg,XGBoost,2,0.8835406768161267,random_search,
0.826444860689306,27.30467807240065,15.01490779940002,Tg,XGBoost,3,0.8612768179145456,random_search,
0.9153329231823123,21.380815566171353,12.712327630508808,Tg,XGBoost,4,0.862095002193421,random_search,
0.7941874557253324,36.77429312906324,18.885954756664095,Tg,XGBoost,5,0.8754529650513971,random_search,
