task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Tg_GREA,MLP,success,,7174,1531,Tg,regression,4374.900431394577,0.8485680682947768,0.011237806832153967,43.60045758507747,1.40287013964668,29.39539003670469,1.3800053882935244
Tg_GREA,SVR/SVM,success,,7174,1531,Tg,regression,3218.0384883880615,0.8381514023159339,0.005390143200137494,45.10224472409994,0.8676648567347169,30.335356928905707,0.6205810614616981
Tg_GREA,Ridge,success,,7174,1531,Tg,regression,84.19111108779907,0.7931377261770554,0.00889271878034605,50.98292519584284,1.0102970612528963,36.61210307327777,0.7435501568529933
Tg_GREA,Lasso,success,,7174,1531,Tg,regression,4026.854871034622,0.8057238748893708,0.008587243739232099,49.40619819808949,0.9800724658929336,35.440211680651075,0.5859234900606756
Tg_GREA,KNN,success,,7174,1531,Tg,regression,282.9312903881073,0.8372060035894984,0.008254638547708158,45.22212757348106,1.013852226099744,30.3367595205677,0.5078806254919327
Tg_GREA,DecisionTree,success,,7174,1531,Tg,regression,44.68134832382202,0.7979589732396604,0.005459917285458613,50.3926385319177,0.7104943382787076,34.56733053654666,0.7008391396331091
Tg_GREA,LightGBM,success,,7174,1531,Tg,regression,181.15846967697144,0.8932298998427914,0.004727329093461355,36.62528725913732,0.6324814172133486,24.45709059167063,0.39500245134192247
Tg_GREA,GradientBoosting,success,,7174,1531,Tg,regression,2472.197043657303,0.8761043969037328,0.005168226479825125,39.453855895376535,0.5879464790648307,27.765892759221657,0.5177163490162366
Tg_GREA,RandomForest,success,,7174,1531,Tg,regression,3807.969622373581,0.8757091871787835,0.007440628687391971,39.50875849193282,1.0161426302849934,26.540411139833253,0.680446022471407
Tg_GREA,ExtraTrees,success,,7174,1531,Tg,regression,5159.628291606903,0.885632620856286,0.006912008747888437,37.897533560550016,0.9701003713623662,24.87692101784494,0.595721219749885
Tg_GREA,XGBoost,success,,7174,1531,Tg,regression,301.01300954818726,0.8882211857454732,0.0029790208265897664,37.48073845962739,0.34979489153191234,25.390998711266242,0.2874294091458442
