Accuracy,Balanced Accuracy,Precision macro,Recall macro,F1 macro,ROC-AUC,task,model,fold,best_score_inner_cv,selection_method,search_error
0.7171717171717171,0.7063567362428842,0.6858974358974359,0.7063567362428842,0.690625,0.7561669829222011,UL94,MLP,1,0.7471486592294885,random_search,
0.8181818181818182,0.7840485074626866,0.7942028985507246,0.7840485074626866,0.7886622390891841,0.8638059701492536,UL94,MLP,2,0.6919437865827552,random_search,
0.7676767676767676,0.730410447761194,0.7343453510436433,0.730410447761194,0.7322751322751323,0.7831156716417911,UL94,MLP,3,0.6939838490922892,random_search,
0.7070707070707071,0.5795242537313433,0.6761363636363636,0.5795242537313433,0.5692423105776444,0.7056902985074627,UL94,MLP,4,0.751254706994625,random_search,
0.7575757575757576,0.6821361940298507,0.7305194805194806,0.6821361940298507,0.6944444444444444,0.8101679104477612,UL94,MLP,5,0.6748165706488152,random_search,
0.7070707070707071,0.7253320683111955,0.6948318293683347,0.7253320683111955,0.6918536009445101,0.7832068311195446,UL94,SVR/SVM,1,0.792893711210931,random_search,
0.8080808080808081,0.7684235074626866,0.7834975369458128,0.7684235074626866,0.7749192293885366,0.8838619402985074,UL94,SVR/SVM,2,0.746615802782513,random_search,
0.7171717171717171,0.6686100746268657,0.6746376811594204,0.6686100746268657,0.6712523719165086,0.8115671641791045,UL94,SVR/SVM,3,0.7851045366418593,random_search,
0.7474747474747475,0.6909981343283582,0.7106481481481481,0.6909981343283582,0.6982075356663822,0.7406716417910448,UL94,SVR/SVM,4,0.7876267391858368,random_search,
0.8080808080808081,0.7602611940298507,0.787037037037037,0.7602611940298507,0.7706377271064504,0.8624067164179104,UL94,SVR/SVM,5,0.7750725836889935,random_search,
0.6565656565656566,0.6008064516129032,0.6008064516129032,0.6008064516129032,0.6008064516129032,0.7144212523719164,UL94,Ridge,1,0.7618172697564738,random_search,
0.7777777777777778,0.6970615671641791,0.7674050632911392,0.6970615671641791,0.7131190727081138,0.7518656716417911,UL94,Ridge,2,0.7323457112717632,random_search,
0.696969696969697,0.6128731343283582,0.6428571428571428,0.6128731343283582,0.6180555555555556,0.7877798507462687,UL94,Ridge,3,0.698370738127728,random_search,
0.6666666666666666,0.5496735074626866,0.5845238095238094,0.5496735074626866,0.5396646470339581,0.699160447761194,UL94,Ridge,4,0.7379295859872462,random_search,
0.696969696969697,0.6373600746268657,0.6481388329979879,0.6373600746268657,0.6413043478260869,0.7490671641791045,UL94,Ridge,5,0.7111950086386111,random_search,
0.6868686868686869,0.6491935483870968,0.6423076923076922,0.6491935483870968,0.644997108155003,0.75426944971537,UL94,Lasso,1,0.7310536524803575,random_search,
0.8282828282828283,0.7670242537313433,0.827517162471396,0.7670242537313433,0.786013986013986,0.7765858208955224,UL94,Lasso,2,0.7451171454655472,random_search,
0.7373737373737373,0.6590485074626866,0.7012987012987013,0.6590485074626866,0.6689814814814815,0.7761194029850746,UL94,Lasso,3,0.7440339664013559,random_search,
0.6767676767676768,0.589785447761194,0.6136363636363636,0.589785447761194,0.5925925925925926,0.6683768656716418,UL94,Lasso,4,0.7582615906934347,random_search,
0.6868686868686869,0.6462220149253731,0.6439393939393939,0.6462220149253731,0.6449971081550029,0.7217817164179103,UL94,Lasso,5,0.7175485469667161,random_search,
0.7575757575757576,0.7094402277039848,0.7174876847290641,0.7094402277039848,0.7130434782608697,0.8005218216318786,UL94,KNN,1,0.7956801529465061,random_search,
0.8383838383838383,0.7908115671641791,0.8285036880927292,0.7908115671641791,0.8049261083743843,0.8491138059701493,UL94,KNN,2,0.7726379539418473,random_search,
0.7777777777777778,0.7052238805970149,0.7597402597402598,0.7052238805970149,0.7199074074074074,0.8288246268656716,UL94,KNN,3,0.7937383088415227,random_search,
0.7474747474747475,0.6583488805970149,0.7233552631578948,0.6583488805970149,0.6698679471788715,0.7915111940298507,UL94,KNN,4,0.805037780386182,random_search,
0.8080808080808081,0.7520988805970149,0.7921621621621622,0.7520988805970149,0.7659574468085106,0.8761660447761194,UL94,KNN,5,0.768708296062185,random_search,
0.7171717171717171,0.6800284629981025,0.6742424242424242,0.6800284629981025,0.6767723880597014,0.7566413662239089,UL94,DecisionTree,1,0.78222730768894,random_search,
0.797979797979798,0.777285447761194,0.7690045248868779,0.777285447761194,0.7727272727272727,0.8605410447761195,UL94,DecisionTree,2,0.7604731350485204,random_search,
0.7676767676767676,0.6895988805970149,0.7481684981684982,0.6895988805970149,0.703708523096942,0.757695895522388,UL94,DecisionTree,3,0.785152499482697,random_search,
0.7474747474747475,0.699160447761194,0.710344827586207,0.699160447761194,0.703841091300706,0.7052238805970149,UL94,DecisionTree,4,0.7828212842105359,random_search,
0.7272727272727273,0.6760727611940298,0.6859605911330049,0.6760727611940298,0.6801483786047624,0.7642257462686568,UL94,DecisionTree,5,0.7773052579624307,random_search,
0.7676767676767676,0.7431214421252372,0.7319004524886878,0.7431214421252372,0.7366107576633893,0.8292220113851992,UL94,LightGBM,1,0.8192636419315279,random_search,
0.7878787878787878,0.7534981343283582,0.7578273244781784,0.7534981343283582,0.7555555555555555,0.8819962686567163,UL94,LightGBM,2,0.8108872768397201,random_search,
0.7777777777777778,0.7378731343283582,0.7463768115942029,0.7378731343283582,0.7416982922201139,0.8470149253731343,UL94,LightGBM,3,0.8244106665302554,random_search,
0.797979797979798,0.7527985074626866,0.772635814889336,0.7527985074626866,0.7608695652173914,0.804570895522388,UL94,LightGBM,4,0.8356078757219773,random_search,
0.8080808080808081,0.7602611940298507,0.787037037037037,0.7602611940298507,0.7706377271064504,0.8754664179104478,UL94,LightGBM,5,0.8217039746828093,random_search,
0.7878787878787878,0.7578273244781784,0.7534981343283582,0.7578273244781784,0.7555555555555555,0.8351518026565464,UL94,GradientBoosting,1,0.8402823113780347,random_search,
0.8282828282828283,0.8078358208955223,0.803030303030303,0.8078358208955223,0.8053209947946789,0.9048507462686567,UL94,GradientBoosting,2,0.8201001977502282,random_search,
0.7878787878787878,0.7453358208955223,0.7591133004926109,0.7453358208955223,0.7512265166925931,0.8318563432835822,UL94,GradientBoosting,3,0.8433184294825268,random_search,
0.7575757575757576,0.6984608208955223,0.7241833508956796,0.6984608208955223,0.7073891625615765,0.8129664179104478,UL94,GradientBoosting,4,0.8441172648253913,random_search,
0.7272727272727273,0.6352611940298507,0.6907894736842105,0.6352611940298507,0.6434573829531813,0.8521455223880597,UL94,GradientBoosting,5,0.834525687482747,random_search,
0.7474747474747475,0.728415559772296,0.7123015873015873,0.728415559772296,0.7180129884926512,0.8282732447817837,UL94,RandomForest,1,0.8294788398960509,random_search,
0.8080808080808081,0.7684235074626866,0.7834975369458128,0.7684235074626866,0.7749192293885366,0.909981343283582,UL94,RandomForest,2,0.8140870193173999,random_search,
0.7575757575757576,0.7066231343283582,0.7228370221327969,0.7066231343283582,0.7130434782608697,0.8572761194029851,UL94,RandomForest,3,0.833876305411886,random_search,
0.7373737373737373,0.6753731343283582,0.6981032665964173,0.6753731343283582,0.6830049261083744,0.7933768656716418,UL94,RandomForest,4,0.8444786624692556,random_search,
