task,model,status,error_message,n_samples,n_features,target_column,task_type,elapsed_seconds,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,Precision macro_mean,Precision macro_std,Recall macro_mean,Recall macro_std,F1 macro_mean,F1 macro_std,ROC-AUC_mean,ROC-AUC_std
UL94,MLP,success,,495,84,UL-94,classification,58.31010127067566,0.7535353535353536,0.04437552047775517,0.6964952278455917,0.07550075976250256,0.7242203059295296,0.046958671411707634,0.6964952278455917,0.07550075976250256,0.695049825277281,0.08061712569355499,0.7837893667336939,0.059079181614486075
UL94,SVR/SVM,success,,495,84,UL-94,classification,5.234842538833618,0.7575757575757576,0.04844274265972444,0.7227249957517914,0.043125211318987375,0.7301304465317505,0.0519408454754653,0.7227249957517914,0.043125211318987375,0.7213740930044775,0.047995632693252854,0.8163428587612225,0.058154195932480994
UL94,Ridge,success,,495,84,UL-94,classification,1.1274187564849854,0.6989898989898989,0.04759280399753434,0.6195549470389986,0.053860623443173675,0.6487462600565965,0.07165492069657296,0.6195549470389986,0.053860623443173675,0.6225900149473235,0.06308216497402609,0.7404588773400549,0.034738344384550854
UL94,Lasso,success,,495,84,UL-94,classification,17.33712863922119,0.7232323232323232,0.06332294148952516,0.6622547544535389,0.06454915230242265,0.6857398627307095,0.08540407979104596,0.6622547544535389,0.06454915230242265,0.6675164552796131,0.07188817406516994,0.7394266511371038,0.0455710608305301
UL94,KNN,success,,495,84,UL-94,classification,2.5103414058685303,0.7858585858585858,0.037387384895599465,0.7231846873318417,0.05031055563203558,0.764249811576422,0.04686965067610601,0.7231846873318417,0.05031055563203558,0.7347404776060087,0.05196091533225751,0.8292274986547339,0.03480441841278369
UL94,DecisionTree,success,,495,84,UL-94,classification,2.3240671157836914,0.7515151515151516,0.032417790981578216,0.704429200062307,0.041698964464304954,0.7175441732034025,0.040343561356639385,0.704429200062307,0.041698964464304954,0.707439530757877,0.03864789471391032,0.7688655866776176,0.056458785976242674
UL94,LightGBM,success,,495,84,UL-94,classification,23.357414484024048,0.7878787878787878,0.015971099293779708,0.7495104824548982,0.008923816210510601,0.7591554880974885,0.021604371892603776,0.7495104824548982,0.008923816210510601,0.75307437955258,0.013927118689007444,0.8476541037695771,0.03220722946236339
UL94,GradientBoosting,success,,495,84,UL-94,classification,123.6410801410675,0.7777777777777779,0.03779451905832263,0.7289441962389193,0.06525440592779452,0.7461229124862324,0.041847129497598064,0.7289441962389193,0.06525440592779452,0.7325899225115171,0.06071293052022541,0.8473941665014586,0.03500144010327495
UL94,RandomForest,success,,495,84,UL-94,classification,109.78420233726501,0.7595959595959596,0.028029165506084044,0.7123342313574442,0.037661358048554236,0.7257262609737013,0.033468303953097155,0.7123342313574442,0.037661358048554236,0.7162059788733786,0.03586909835076796,0.8502628579115805,0.04325076828801728
UL94,ExtraTrees,success,,495,84,UL-94,classification,80.92522740364075,0.7797979797979797,0.04917438967530538,0.7404989698093971,0.05878635979642797,0.7499667799454661,0.06129311453376595,0.7404989698093971,0.05878635979642797,0.7430298324861523,0.05910015202261272,0.844918611402192,0.06275924843851166
UL94,XGBoost,success,,495,84,UL-94,classification,39.07871913909912,0.7757575757575756,0.029793699401520466,0.7304141649437821,0.0391665500861523,0.7431912306719259,0.03532445133191911,0.7304141649437821,0.0391665500861523,0.7356176190895726,0.0376915933716434,0.8566755289019795,0.04091830695034975
